,criteria,labels
720,We have finished various hires in management stations,1
721,Has introduced minority training programs to increase diversity,1
722,Our gender ratio is decreasing this year,2
723,Women's leadership,1
724,We use software to delete biases in the job process,1
725,There are more women than men in management positions,2
726,There are more women than men in management positions,2
727,There are as many men as women in management positions,1
728,We often finish the feedback session,1
729,Career development journals are often completed,1
730,Comments only once a year,2
731,Some feedback sessions,2
732,We do not finish the performance notices,2
733,Regular performance assessments,1
734,Labor development programs,1
735,We offer training to employees to allow them a promotion,1
736,Offer transition assistance programs for employees,1
737,Focus on training employees by training,1
738,No training offered to employees,2
739,Reduces the number of training programs,1
740,Equal training hours given to men and women,1
741,Women and men have equal training hours,1
742,Focused on increasing training for women,1
743,Increased diversity to prioritize training,1
744,We provide educational leave paid,1
745,We have increased our concentration on training,1
746,Training hours by employee,0
747,Work on sickly work due to chemicals,2
748,Increase in poor work related to labor,2
749,No work causes poor health,1
750,We have no illness due to poor work related to work,1
751,There is no sign of poor health related to work,1
752,There has been a slight increase in poor work linked to work in the past year,2
